0.416,3.775
0.216,3.240
0.050,2.504
0.992,3.880
0.954,3.368
0.026,1.704
0.903,2.884
0.056,0.104
0.225,2.296
0.218,2.919
0.433,0.025
0.630,3.475
0.027,1.407
0.874,2.513
0.564,0.533
0.588,3.508
0.530,3.782
0.849,3.141
0.767,3.258
0.509,3.829
0.736,2.749
0.594,3.494
0.242,2.815
0.912,3.558
0.692,2.873
0.563,3.150
0.623,3.192
0.186,1.694
0.167,3.220
0.386,2.747
0.329,2.754
0.027,4.118
0.955,3.644
0.387,2.436
0.277,0.110
0.667,3.439
0.710,3.261
0.318,3.117
0.435,2.036
0.544,3.100
0.606,3.479
0.433,2.735
0.969,3.486
0.638,2.981
0.569,3.116
0.975,2.525
0.972,4.833
0.369,2.733
0.386,3.241
0.069,3.053
0.450,3.319
0.994,2.454
0.538,2.684
0.267,3.179
0.529,2.065
0.632,3.011
0.982,2.580
0.964,0.010
0.917,0.006
0.469,3.198
0.038,6.093
0.026,1.994
0.419,2.875
0.100,3.272
0.653,3.217
0.495,3.309
0.366,3.136
0.667,3.294
0.313,4.442
0.077,5.423
0.507,3.323
0.821,2.795
0.972,3.293
0.937,2.537
0.064,2.423
0.167,5.404
0.418,3.359
0.987,0.001
0.277,3.164
0.547,3.619
0.396,2.816
0.343,2.295
0.218,2.308
0.490,0.066
0.274,3.037
0.007,1.354
0.384,3.349
0.703,3.139
0.053,1.326
0.910,2.619
0.226,2.736
0.899,2.725
0.058,1.754
0.826,3.494
0.649,3.009
0.523,2.825
0.297,3.026
0.289,3.550
0.292,3.070
0.420,2.656
0.245,2.978
0.339,2.968
0.384,2.834
0.963,3.287
0.999,2.768
0.494,1.955
0.460,3.150
0.604,2.858
0.467,3.044
0.293,3.220
0.517,2.961
0.285,3.342
0.922,3.217
0.462,2.137
0.413,3.734
0.899,3.336
0.871,2.632
0.077,3.030
0.328,3.338
0.988,0.002
0.153,3.042
0.367,3.035
0.392,3.268
0.356,3.384
0.615,2.857
0.386,3.304
0.566,3.133
0.354,3.027
1.000,0.000
0.032,1.556
0.645,3.287
0.953,3.364
0.653,3.289
0.778,3.039
0.464,2.994
0.428,3.330
0.712,2.114
0.582,2.896
0.759,1.585
0.026,5.782
0.856,0.299
0.025,5.721
0.933,2.700
0.917,3.166
0.660,2.064
0.331,3.064
0.896,1.521
0.666,2.298
0.733,3.501
0.705,2.815
0.716,3.663
0.303,2.139
0.040,2.659
0.170,3.228
0.437,3.005
0.037,4.227
0.974,2.846
0.952,3.173
0.362,3.226
